Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-149,1,5.93975,3.58246,3.89056,-113.109
-148,1,5.56734,3.37968,3.95409,-113.008
-147,1,5.1932,3.17576,4.01423,-112.914
-146,1,4.81744,2.97075,4.07097,-112.827
-145,1,4.44017,2.7647,4.12428,-112.746
-144,1,4.06151,2.55768,4.17414,-112.672
-143,1,3.68157,2.34972,4.22054,-112.604
-142,1,3.30047,2.14089,4.26346,-112.543
-141,1,2.91832,1.93124,4.30287,-112.488
-140,1,2.53524,1.72084,4.33876,-112.44
-139,1,2.15134,1.50972,4.37111,-112.399
-138,1,1.76674,1.29795,4.39992,-112.365
-137,1,1.38155,1.08559,4.42515,-112.337
-136,1,0.995895,0.872698,4.4468,-112.316
-135,1,0.60989,0.659323,4.46486,-112.302
-134,1,0.22365,0.445527,4.47931,-112.294
-133,1,-0.162706,0.231368,4.49015,-112.293
-132,1,-0.549062,0.016905,4.49735,-112.299
-131,1,-0.9353,-0.197803,4.50091,-112.312
-130,1,-1.3213,-0.412697,4.50083,-112.331
-129,1,-1.70695,-0.627717,4.49709,-112.358
-128,1,-2.09213,-0.842803,4.48969,-112.39
-127,1,-2.47673,-1.05789,4.47861,-112.43
-126,1,-2.86062,-1.27293,4.46387,-112.476
-125,1,-3.24369,-1.48785,4.44544,-112.529
-124,1,-3.62582,-1.7026,4.42333,-112.589
-123,1,-4.0069,-1.9171,4.39754,-112.655
-122,1,-4.3868,-2.13131,4.36806,-112.728
-121,1,-4.76542,-2.34516,4.3349,-112.808
-120,1,-5.14264,-2.55858,4.29805,-112.894
-119,1,-5.51834,-2.77151,4.25751,-112.987
-118,1,-5.8924,-2.9839,4.2133,-113.086
-117,1,-6.26472,-3.19567,4.1654,-113.192
-116,1,-6.63518,-3.40677,4.11384,-113.305
-115,1,-7.00366,-3.61713,4.05861,-113.423
-114,1,-7.37006,-3.8267,3.99972,-113.549
-113,1,-7.73426,-4.03539,3.93717,-113.68
-112,1,-8.09614,-4.24317,3.87099,-113.818
-111,1,-8.4556,-4.44995,3.80117,-113.963
-110,1,-8.81253,-4.65568,3.72774,-114.113
-109,1,-9.16681,-4.86029,3.65069,-114.27
-108,1,-9.51834,-5.06373,3.57005,-114.433
-107,1,-9.86702,-5.26592,3.48583,-114.602
-106,1,-10.2127,-5.4668,3.39805,-114.777
-105,1,-10.5553,-5.66631,3.30672,-114.959
-104,1,-10.8948,-5.86439,3.21186,-115.146
-103,1,-11.231,-6.06098,3.11349,-115.339
-102,1,-11.5637,-6.256,3.01164,-115.538
-101,1,-11.893,-6.44941,2.90631,-115.743
-100,1,-12.2187,-6.64113,2.79755,-115.954
-99,1,-12.5407,-6.8311,2.68536,-116.17
-98,1,-12.8589,-7.01926,2.56978,-116.392
-97,1,-13.1732,-7.20556,2.45083,-116.619
-96,1,-13.4836,-7.38992,2.32854,-116.852
-95,1,-13.7898,-7.57229,2.20294,-117.09
-94,1,-14.0918,-7.7526,2.07406,-117.334
-93,1,-14.3896,-7.93079,1.94193,-117.583
-92,1,-14.683,-8.10682,1.80658,-117.837
-91,1,-14.972,-8.2806,1.66804,-118.096
-90,1,-15.2564,-8.45209,1.52636,-118.36
-89,1,-15.5362,-8.62123,1.38156,-118.63
-88,1,-15.8112,-8.78795,1.23369,-118.904
-87,1,-16.0815,-8.9522,1.08278,-119.183
-86,1,-16.3468,-9.11392,0.928867,-119.466
-85,1,-16.6072,-9.27306,0.772,-119.755
-84,1,-16.8625,-9.42955,0.612218,-120.047
-83,1,-17.1127,-9.58335,0.449563,-120.344
-82,1,-17.3576,-9.7344,0.28408,-120.646
-81,1,-17.5973,-9.88263,0.115814,-120.952
-80,1,-17.8316,-10.028,-0.0551878,-121.262
-79,1,-18.0605,-10.1705,-0.228879,-121.576
-78,1,-18.2838,-10.31,-0.405209,-121.894
-77,1,-18.5016,-10.4464,-0.584129,-122.216
-76,1,-18.7137,-10.5798,-0.765588,-122.542
-75,1,-18.9201,-10.7101,-0.949534,-122.871
-74,1,-19.1207,-10.8372,-1.13591,-123.204
-73,1,-19.3155,-10.9611,-1.32467,-123.541
-72,1,-19.5044,-11.0818,-1.51575,-123.88
-71,1,-19.6873,-11.1991,-1.7091,-124.224
-70,1,-19.8642,-11.3131,-1.90466,-124.57
-69,1,-20.035,-11.4236,-2.10237,-124.919
-68,1,-20.1996,-11.5308,-2.30218,-125.272
-67,1,-20.3581,-11.6344,-2.50401,-125.627
-66,1,-20.5104,-11.7345,-2.70782,-125.985
-65,1,-20.6564,-11.8311,-2.91353,-126.345
-64,1,-20.796,-11.924,-3.12109,-126.708
-63,1,-20.9293,-12.0133,-3.33043,-127.074
-62,1,-21.0561,-12.0989,-3.54148,-127.442
-61,1,-21.1765,-12.1808,-3.75419,-127.812
-60,1,-21.2904,-12.2589,-3.96847,-128.184
-59,1,-21.3978,-12.3332,-4.18428,-128.558
-58,1,-21.4986,-12.4038,-4.40153,-128.933
-57,1,-21.5928,-12.4704,-4.62015,-129.311
-56,1,-21.6804,-12.5332,-4.84009,-129.69
-55,1,-21.7613,-12.5921,-5.06126,-130.071
-54,1,-21.8355,-12.6471,-5.2836,-130.453
-53,1,-21.9031,-12.698,-5.50704,-130.836
-52,1,-21.9639,-12.745,-5.73149,-131.22
-51,1,-22.018,-12.788,-5.9569,-131.606
-50,1,-22.0653,-12.827,-6.18317,-131.992
-49,1,-22.1058,-12.8619,-6.41025,-132.379
-48,1,-22.1395,-12.8928,-6.63806,-132.767
-47,1,-22.1665,-12.9195,-6.86651,-133.155
-46,1,-22.1866,-12.9422,-7.09554,-133.544
-45,1,-22.1999,-12.9607,-7.32506,-133.933
